Name,Path,Size,Date Modified,Status,User,Title,Description,Class,Stylesheet,Conditions,Language,Dimensions,Resolution,Searchable
"release_notes.htm","Content\What's New\Releases\","275 bytes","10-Mar-17 21:21:39","Committed","","","","","","","","","","True"
"releases.htm","Content\What's New\Releases\","270 bytes","10-Mar-17 21:23:42","Committed","","","","","","","","","","True"
"roadmap.htm","Content\What's New\","6.39 KB","27-Mar-17 15:21:12","Committed","","ROADMAP","","","","","","","","True"
"sales.htm","Content\Developing with Spryker\Bundle Guide\","267 bytes","10-Mar-17 15:53:10","Committed","","","","","","","","","","True"
"search.htm","Content\Developing with Spryker\Bundle Guide\","456 bytes","20-Mar-17 11:37:15","Committed","","","","","","","","","","True"
"search_3_0.htm","Content\Developing with Spryker\Bundle Guide\","460 bytes","20-Mar-17 11:37:23","Committed","","","","","","","","","","True"
"search_4_0.htm","Content\Developing with Spryker\Bundle Guide\","460 bytes","20-Mar-17 11:37:34","Committed","","","","","","","","","","True"
"search_design_paterns.htm","Content\Developing with Spryker\Developer Guidelines\Search Design\","3.13 KB","09-Mar-17 14:44:49","Committed","","","","","","","","","","True"
"secure_coding_practices.htm","Content\Developing with Spryker\Developer Guidelines\","5.99 KB","21-Mar-17 11:13:55","Committed","","","","","","","","","","True"
"security_audit.htm","Content\Getting Started\","3.76 KB","21-Mar-17 11:13:55","Committed","","","","","","","","","","True"
"service.htm","Content\Developing with Spryker\Developer Resources\","2.88 KB","10-Mar-17 12:13:51","Committed","","","","","","","","","","True"
"session_handlers.htm","Content\Developing with Spryker\Developer Resources\","3.29 KB","14-Mar-17 11:57:32","Committed","","","","","","","","","","True"
"shipment.htm","Content\Developing with Spryker\Bundle Guide\","270 bytes","10-Mar-17 15:53:34","Committed","","","","","","","","","","True"
"simple_spelling_suggestions.htm","Content\Developing with Spryker\Developer Guidelines\Search Design\","2.46 KB","21-Mar-17 11:13:55","Committed","","","","","","","","","","True"
"state_machine.htm","Content\Developing with Spryker\Bundle Guide\","275 bytes","10-Mar-17 15:53:51","Committed","","","","","","","","","","True"
"state_machine_cookbook.htm","Content\Developing with Spryker\State Machine CookBook\","53.91 KB","24-Mar-17 12:01:33","Committed","","","","","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/TableStyles/PatternedRows.css","","","","","True"
"step_engine.htm","Content\Developing with Spryker\Bundle Guide\","273 bytes","10-Mar-17 15:56:55","Committed","","","","","","","","","","True"
"stock.htm","Content\Developing with Spryker\Bundle Guide\","267 bytes","10-Mar-17 15:57:06","Committed","","","","","","","","","","True"
"t_add_button_table.htm","Content\Enablement\Tutorials\Frontend\","297 bytes","10-Mar-17 20:27:47","Committed","","","","","","","","","","True"
"t_add_navigation_zed.htm","Content\Enablement\Tutorials\Backend\","297 bytes","10-Mar-17 20:38:33","Committed","","","","","","","","","","True"
"t_add_new_bundle.htm","Content\Enablement\Tutorials\Backend\","7.42 KB","13-Mar-17 14:50:47","Committed","","","","","","","","","","True"
"t_boosting_cart_based_search.htm","Content\Enablement\Tutorials\Challenges\","394 bytes","10-Mar-17 16:28:48","Committed","","","","","","","","","","True"
"t_calculator_plugin.htm","Content\Enablement\Tutorials\Backend\","290 bytes","10-Mar-17 20:39:18","Committed","","","","","","","","","","True"
"t_checkout.htm","Content\Enablement\Training & Certification\","281 bytes","10-Mar-17 20:24:20","Committed","","","","","","","","","","True"
"t_checkout.htm","Content\Enablement\Tutorials\Onboarding\","280 bytes","13-Mar-17 14:21:21","Committed","","","","","","","","","","True"
